S.No.,Name,Time
1,Osama billu,3.5268263816833496
2,Osama billu,3.599210262298584
3,Osama billu,3.6387317180633545
4,Osama billu,3.7288923263549805
5,Osama billu,3.9312493801116943
6,Osama billu,4.035619258880615
7,Osama billu,4.443753719329834
8,Osama billu,4.551904678344727
9,Osama billu,4.809744834899902
10,Osama billu,6.169682025909424
11,Osama billu,6.305081605911255
12,Osama billu,6.532975673675537
13,Osama billu,6.690920829772949
14,Osama billu,6.868275880813599
15,Osama billu,7.220161199569702
16,Osama billu,7.33365273475647
17,Osama billu,7.398064136505127
18,Osama billu,7.512308597564697
19,Osama billu,8.090705871582031
20,Osama billu,8.177321195602417
21,Osama billu,8.302700281143188
22,Osama billu,8.397169589996338
23,Osama billu,9.004830598831177
24,Osama billu,9.192780256271362
25,Osama billu,9.819926500320435
26,Osama billu,10.043819427490234
27,Osama billu,10.108463525772095
28,Osama billu,10.75104284286499
29,Osama billu,10.82366394996643
30,Osama billu,11.700566053390503
31,Osama billu,12.068083763122559
32,Osama billu,12.571654319763184
33,Osama billu,12.658977270126343
34,Osama billu,12.792709350585938
35,Osama billu,13.57151985168457
36,Osama billu,13.64005184173584
37,Osama billu,13.732744693756104
38,Osama billu,14.288153648376465
39,Osama billu,14.381117820739746
40,Osama billu,14.6573646068573
41,Osama billu,15.243217945098877
42,Osama billu,15.542674541473389
43,Osama billu,15.587915897369385
44,Osama billu,15.879521369934082
45,Osama billu,15.94824743270874
46,Osama billu,16.076022148132324
47,Osama billu,19.180946350097656
48,Osama billu,19.221696376800537
49,Osama billu,20.52262783050537
50,Osama billu,21.088756561279297
51,Osama billu,21.129741191864014
52,Osama billu,21.88784670829773
53,Osama billu,22.013015508651733
54,Osama billu,22.11748743057251
55,Osama billu,22.207828283309937
56,Osama billu,22.346989393234253
57,Osama billu,22.415562629699707
58,Osama billu,22.874627351760864
59,Osama billu,26.26984477043152
60,Osama billu,26.318530082702637
61,Osama billu,30.475055932998657
62,Osama billu,32.91519212722778
63,Osama billu,33.7856502532959
64,Osama billu,33.87212300300598
65,Osama billu,33.94373893737793
66,Osama billu,34.1985502243042
67,Osama billu,34.32115435600281
68,Osama billu,34.373371839523315
69,Osama billu,34.420818567276
70,Osama billu,34.533557415008545
